Kat's data
vertex 1,vertex 2,vertex 3,vertex 4,vertex 5,
0.609747,0.543945,0.628353,0.582568,0.647732,
0.612631,0.544850,0.629335,0.583695,0.648624,
0.612631,0.544850,0.629335,0.583695,0.648624,
0.614244,0.545890,0.628749,0.585117,0.648907,
0.614244,0.545890,0.628749,0.585117,0.648907,
0.616671,0.546172,0.629726,0.585768,0.648885,
0.616671,0.546172,0.629726,0.585768,0.648885,
0.618911,0.547026,0.629812,0.586360,0.648165,
0.618911,0.547026,0.629812,0.586360,0.648165,
0.620217,0.548030,0.629323,0.587663,0.648035,
0.620217,0.548030,0.629323,0.587663,0.648035,
0.621817,0.548816,0.630701,0.587831,0.648842,
0.621817,0.548816,0.630701,0.587831,0.648842,
0.623827,0.548781,0.631573,0.588202,0.650333,
0.623827,0.548781,0.631573,0.588202,0.650333,
0.624584,0.550066,0.630482,0.588262,0.650024,
0.624584,0.550066,0.630482,0.588262,0.650024,
0.625688,0.550057,0.631863,0.588603,0.650013,
0.625688,0.550057,0.631863,0.588603,0.650013,
0.626220,0.549897,0.634341,0.588935,0.649945,
0.626220,0.549897,0.634341,0.588935,0.649945,
0.627044,0.551246,0.633558,0.589377,0.641587,
0.627044,0.551246,0.633558,0.589377,0.641587,
0.627556,0.486310,0.634679,0.589604,0.648896,
0.627556,0.486310,0.634679,0.589604,0.648896,
0.628345,0.552317,0.635807,0.590000,0.647267,
0.628345,0.552317,0.635807,0.590000,0.647267,
0.628489,0.552604,0.639269,0.590485,0.638138,
0.628489,0.552604,0.639269,0.590485,0.638138,
0.629092,0.553001,0.638992,0.590240,0.638767,
0.629092,0.553001,0.638992,0.590240,0.638767,
0.629766,0.553404,0.639369,0.590393,0.639304,
0.629766,0.553404,0.639369,0.590393,0.639304,
0.630599,0.556211,0.639468,0.591071,0.653184,
0.630599,0.556211,0.639468,0.591071,0.653184,
0.630785,0.556743,0.638777,0.591273,0.653018,
0.630785,0.556743,0.638777,0.591273,0.653018,
0.631183,0.556969,0.637724,0.591396,0.639959,
0.631183,0.556969,0.637724,0.591396,0.639959,
0.631236,0.556712,0.637424,0.591420,0.639907,
0.631236,0.556712,0.637424,0.591420,0.639907,
0.631145,0.491392,0.635923,0.591371,0.639489,
0.631145,0.491392,0.635923,0.591371,0.639489,
0.630769,0.556946,0.635353,0.591676,0.635531,
0.630769,0.556946,0.635353,0.591676,0.635531,
0.629722,0.557151,0.640176,0.591938,0.647279,
0.629722,0.557151,0.640176,0.591938,0.647279,
0.630573,0.558816,0.639728,0.592048,0.649747,
0.630573,0.558816,0.639728,0.592048,0.649747,
0.630884,0.560430,0.639761,0.592119,0.645261,
0.630884,0.560430,0.639761,0.592119,0.645261,
0.630924,0.560581,0.639431,0.592241,0.647478,
0.630924,0.560581,0.639431,0.592241,0.647478,
0.630308,0.561140,0.640615,0.592426,0.649625,
0.630308,0.561140,0.640615,0.592426,0.649625,
0.630140,0.561575,0.640010,0.592976,0.645866,
0.630140,0.561575,0.640010,0.592976,0.645866,
0.630675,0.561192,0.637634,0.592764,0.646032,
0.630675,0.561192,0.637634,0.592764,0.646032,
0.630222,0.561043,0.639595,0.593286,0.646746,
0.630222,0.561043,0.639595,0.593286,0.646746,
0.629765,0.561915,0.645269,0.593527,0.647186,
0.629765,0.561915,0.645269,0.593527,0.647186,
0.629031,0.561271,0.643158,0.594586,0.649258,
0.629031,0.561271,0.643158,0.594586,0.649258,
0.628989,0.562277,0.643171,0.594605,0.646640,
0.628989,0.562277,0.643171,0.594605,0.646640,
0.628370,0.516370,0.641336,0.594683,0.646297,
0.628370,0.516370,0.641336,0.594683,0.646297,
0.627812,0.563924,0.640840,0.595843,0.636251,
0.627812,0.563924,0.640840,0.595843,0.636251,
0.627544,0.563570,0.641253,0.596364,0.645272,
0.627544,0.563570,0.641253,0.596364,0.645272,
0.626797,0.545752,0.641664,0.596422,0.646638,
0.626797,0.545752,0.641664,0.596422,0.646638,
0.626206,0.539450,0.640937,0.597305,0.646481,
0.626206,0.539450,0.640937,0.597305,0.646481,
0.624934,0.510453,0.642343,0.597452,0.646360,
0.624934,0.510453,0.642343,0.597452,0.646360,
0.624820,0.562601,0.638203,0.597522,0.646054,
0.624820,0.562601,0.638203,0.597522,0.646054,
0.624721,0.561371,0.642346,0.597740,0.646178,
0.624721,0.561371,0.642346,0.597740,0.646178,
0.624074,0.560567,0.637793,0.597557,0.633238,
0.624074,0.560567,0.637793,0.597557,0.633238,
0.623717,0.512512,0.637353,0.597484,0.642805,
0.623717,0.512512,0.637353,0.597484,0.642805,
0.623506,0.558341,0.639695,0.597414,0.632896,
0.623506,0.558341,0.639695,0.597414,0.632896,
0.623203,0.510168,0.639936,0.597244,0.644728,
0.623203,0.510168,0.639936,0.597244,0.644728,
0.622536,0.509929,0.640822,0.596959,0.632907,
0.622536,0.509929,0.640822,0.596959,0.632907,
0.622111,0.555494,0.641807,0.596902,0.639257,
0.622111,0.555494,0.641807,0.596902,0.639257,
0.622121,0.555418,0.642809,0.596913,0.632920,
0.622121,0.555418,0.642809,0.596913,0.632920,
0.621864,0.555890,0.642567,0.596759,0.632955,
0.621864,0.555890,0.642567,0.596759,0.632955,
0.621914,0.555909,0.643957,0.596977,0.633099,
0.621914,0.555909,0.643957,0.596977,0.633099,
0.622273,0.556275,0.643525,0.596895,0.632793,
0.622273,0.556275,0.643525,0.596895,0.632793,
0.622445,0.556426,0.643884,0.595653,0.632722,
0.622445,0.556426,0.643884,0.595653,0.632722,
0.623034,0.556383,0.643106,0.596105,0.632853,
0.623034,0.556383,0.643106,0.596105,0.632853,
0.623997,0.517635,0.643872,0.596589,0.633036,
0.623997,0.517635,0.643872,0.596589,0.633036,
0.624329,0.558464,0.644143,0.596835,0.633328,
0.624329,0.558464,0.644143,0.596835,0.633328,
0.624186,0.557122,0.644677,0.597228,0.644447,
0.624186,0.557122,0.644677,0.597228,0.644447,
0.624560,0.508564,0.645603,0.598230,0.644485,
0.624560,0.508564,0.645603,0.598230,0.644485,
0.625211,0.558151,0.647544,0.598377,0.650167,
0.625211,0.558151,0.647544,0.598377,0.650167,
0.625808,0.558706,0.647319,0.598846,0.644141,
0.625808,0.558706,0.647319,0.598846,0.644141,
0.626457,0.513396,0.647642,0.599052,0.633901,
0.626457,0.513396,0.647642,0.599052,0.633901,
0.627175,0.560395,0.647288,0.599423,0.634298,
0.627175,0.560395,0.647288,0.599423,0.634298,
0.628336,0.561288,0.648228,0.600306,0.640233,
0.628336,0.561288,0.648228,0.600306,0.640233,
0.628716,0.561154,0.648473,0.600756,0.640992,
0.628716,0.561154,0.648473,0.600756,0.640992,
0.629541,0.562218,0.648707,0.601319,0.641676,
0.629541,0.562218,0.648707,0.601319,0.641676,
0.629776,0.562930,0.649062,0.602034,0.641866,
0.629776,0.562930,0.649062,0.602034,0.641866,
0.629400,0.516784,0.651539,0.602527,0.637190,
0.629400,0.516784,0.651539,0.602527,0.637190,
0.629854,0.563354,0.651464,0.603014,0.638046,
0.629854,0.563354,0.651464,0.603014,0.638046,
0.629901,0.523565,0.647884,0.603725,0.646335,
0.629901,0.523565,0.647884,0.603725,0.646335,
0.630235,0.524219,0.651819,0.604387,0.640525,
0.630235,0.524219,0.651819,0.604387,0.640525,
0.630397,0.565880,0.651178,0.605202,0.658594,
0.630397,0.565880,0.651178,0.605202,0.658594,
0.630628,0.527306,0.651907,0.605949,0.649378,
0.630628,0.527306,0.651907,0.605949,0.649378,
0.630955,0.569494,0.648317,0.606693,0.648616,
0.630955,0.569494,0.648317,0.606693,0.648616,
0.631073,0.525435,0.646831,0.607212,0.650112,
0.631073,0.525435,0.646831,0.607212,0.650112,
0.631363,0.531174,0.643695,0.607248,0.647611,
0.631363,0.531174,0.643695,0.607248,0.647611,
0.631327,0.516248,0.641961,0.607668,0.652436,
0.631327,0.516248,0.641961,0.607668,0.652436,
0.631804,0.515871,0.643948,0.607973,0.646542,
0.631804,0.515871,0.643948,0.607973,0.646542,
0.631719,0.515269,0.638146,0.607983,0.646835,
0.631719,0.515269,0.638146,0.607983,0.646835,
0.631803,0.515849,0.635681,0.608173,0.647063,
0.631803,0.515849,0.635681,0.608173,0.647063,
0.631895,0.517214,0.639335,0.609307,0.660329,
0.631895,0.517214,0.639335,0.609307,0.660329,
0.632124,0.516904,0.640340,0.609482,0.648419,
0.632124,0.516904,0.640340,0.609482,0.648419,
0.632238,0.517329,0.642099,0.609445,0.652224,
0.632238,0.517329,0.642099,0.609445,0.652224,
0.632360,0.518708,0.644233,0.610172,0.665798,
0.632360,0.518708,0.644233,0.610172,0.665798,
0.632164,0.521987,0.645657,0.610180,0.658284,
0.632164,0.521987,0.645657,0.610180,0.658284,
0.632209,0.523370,0.651489,0.610241,0.657696,
0.632209,0.523370,0.651489,0.610241,0.657696,
0.632246,0.531514,0.652966,0.611901,0.656836,
0.632246,0.531514,0.652966,0.611901,0.656836,
0.632066,0.536258,0.653644,0.612028,0.654504,
0.632066,0.536258,0.653644,0.612028,0.654504,
0.631743,0.539359,0.659065,0.612335,0.655304,
0.631743,0.539359,0.659065,0.612335,0.655304,
0.632343,0.546863,0.666763,0.613733,0.655358,
0.632343,0.546863,0.666763,0.613733,0.655358,
0.632291,0.548517,0.672158,0.613263,0.656843,
0.632291,0.548517,0.672158,0.613263,0.656843,
0.632139,0.556045,0.676597,0.613191,0.657428,
0.632139,0.556045,0.676597,0.613191,0.657428,
0.631902,0.554458,0.682788,0.614618,0.658751,
0.631902,0.554458,0.682788,0.614618,0.658751,
0.631054,0.551325,0.690479,0.613317,0.658439,
0.631054,0.551325,0.690479,0.613317,0.658439,
0.628659,0.546852,0.697528,0.612800,0.653107,
0.628659,0.546852,0.697528,0.612800,0.653107,
0.628304,0.543847,0.702681,0.612263,0.651787,
0.628304,0.543847,0.702681,0.612263,0.651787,
0.626382,0.534060,0.703231,0.613310,0.651479,
0.626382,0.534060,0.703231,0.613310,0.651479,
0.625250,0.549906,0.703177,0.613106,0.649348,
0.625250,0.549906,0.703177,0.613106,0.649348,
0.623028,0.544097,0.697916,0.612319,0.649397,
0.623028,0.544097,0.697916,0.612319,0.649397,
0.620850,0.542280,0.698412,0.613519,0.650523,
0.620850,0.542280,0.698412,0.613519,0.650523,
0.619453,0.550173,0.695494,0.612798,0.650759,
0.619453,0.550173,0.695494,0.612798,0.650759,
0.618740,0.529898,0.693890,0.613501,0.651123,
0.618740,0.529898,0.693890,0.613501,0.651123,
0.615974,0.551524,0.692342,0.615244,0.650941,
0.615974,0.551524,0.692342,0.615244,0.650941,
0.613426,0.530456,0.625246,0.615104,0.648581,
0.613426,0.530456,0.625246,0.615104,0.648581,
0.612301,0.525885,0.623911,0.615548,0.647085,
0.612301,0.525885,0.623911,0.615548,0.647085,
0.610554,0.494775,0.623272,0.610905,0.644615,
0.610554,0.494775,0.623272,0.610905,0.644615,
0.608550,0.489442,0.622278,0.614521,0.643312,
0.608550,0.489442,0.622278,0.614521,0.643312,
0.607014,0.482747,0.563550,0.617184,0.646893,
0.607014,0.482747,0.563550,0.617184,0.646893,
0.605151,0.487747,0.575847,0.615389,0.643807,
0.605151,0.487747,0.575847,0.615389,0.643807,
0.602544,0.481220,0.579668,0.614549,0.642465,
0.602544,0.481220,0.579668,0.614549,0.642465,
0.600160,0.501497,0.574472,0.615157,0.641938,
